binedges,barheight
31-Mar-2018 20:00:00,9
01-Apr-2018 20:00:00,8
02-Apr-2018 20:00:00,10
03-Apr-2018 20:00:00,24
04-Apr-2018 20:00:00,10
05-Apr-2018 20:00:00,2
06-Apr-2018 20:00:00,14
07-Apr-2018 20:00:00,7
08-Apr-2018 20:00:00,11
09-Apr-2018 20:00:00,11
10-Apr-2018 20:00:00,9
11-Apr-2018 20:00:00,8
12-Apr-2018 20:00:00,5
13-Apr-2018 20:00:00,10
14-Apr-2018 20:00:00,14
15-Apr-2018 20:00:00,7
16-Apr-2018 20:00:00,5
17-Apr-2018 20:00:00,7
18-Apr-2018 20:00:00,7
19-Apr-2018 20:00:00,20
20-Apr-2018 20:00:00,6
21-Apr-2018 20:00:00,6
22-Apr-2018 20:00:00,8
23-Apr-2018 20:00:00,5
24-Apr-2018 20:00:00,5
25-Apr-2018 20:00:00,1
26-Apr-2018 20:00:00,6
27-Apr-2018 20:00:00,3
28-Apr-2018 20:00:00,7
29-Apr-2018 20:00:00,10
