binedges,barheight
31-Jul-2018 23:00:00,9
01-Aug-2018 23:00:00,20
02-Aug-2018 23:00:00,9
03-Aug-2018 23:00:00,9
04-Aug-2018 23:00:00,4
05-Aug-2018 23:00:00,7
06-Aug-2018 23:00:00,6
07-Aug-2018 23:00:00,14
08-Aug-2018 23:00:00,5
09-Aug-2018 23:00:00,13
10-Aug-2018 23:00:00,7
11-Aug-2018 23:00:00,12
12-Aug-2018 23:00:00,11
13-Aug-2018 23:00:00,9
14-Aug-2018 23:00:00,4
15-Aug-2018 23:00:00,5
16-Aug-2018 23:00:00,7
17-Aug-2018 23:00:00,5
18-Aug-2018 23:00:00,6
19-Aug-2018 23:00:00,11
20-Aug-2018 23:00:00,8
21-Aug-2018 23:00:00,6
22-Aug-2018 23:00:00,20
23-Aug-2018 23:00:00,10
24-Aug-2018 23:00:00,10
25-Aug-2018 23:00:00,7
26-Aug-2018 23:00:00,8
27-Aug-2018 23:00:00,7
28-Aug-2018 23:00:00,8
29-Aug-2018 23:00:00,3
30-Aug-2018 23:00:00,5
