binedges,barheight
01-Dec-2017,40
02-Dec-2017,27
03-Dec-2017,19
04-Dec-2017,6
05-Dec-2017,17
06-Dec-2017,8
07-Dec-2017,11
08-Dec-2017,14
09-Dec-2017,17
10-Dec-2017,10
11-Dec-2017,13
12-Dec-2017,19
13-Dec-2017,30
14-Dec-2017,24
15-Dec-2017,26
16-Dec-2017,40
17-Dec-2017,24
18-Dec-2017,15
19-Dec-2017,11
20-Dec-2017,36
21-Dec-2017,15
22-Dec-2017,9
23-Dec-2017,5
24-Dec-2017,5
25-Dec-2017,9
26-Dec-2017,10
27-Dec-2017,12
28-Dec-2017,7
29-Dec-2017,8
30-Dec-2017,10
31-Dec-2017,4
