binedges,barheight
01-Feb-2018 02:00:00,9
02-Feb-2018 02:00:00,12
03-Feb-2018 02:00:00,16
04-Feb-2018 02:00:00,6
05-Feb-2018 02:00:00,10
06-Feb-2018 02:00:00,8
07-Feb-2018 02:00:00,8
08-Feb-2018 02:00:00,7
09-Feb-2018 02:00:00,3
10-Feb-2018 02:00:00,3
11-Feb-2018 02:00:00,9
12-Feb-2018 02:00:00,5
13-Feb-2018 02:00:00,4
14-Feb-2018 02:00:00,7
15-Feb-2018 02:00:00,7
16-Feb-2018 02:00:00,6
17-Feb-2018 02:00:00,6
18-Feb-2018 02:00:00,6
19-Feb-2018 02:00:00,5
20-Feb-2018 02:00:00,8
21-Feb-2018 02:00:00,4
22-Feb-2018 02:00:00,10
23-Feb-2018 02:00:00,11
24-Feb-2018 02:00:00,3
25-Feb-2018 02:00:00,5
26-Feb-2018 02:00:00,3
27-Feb-2018 02:00:00,3
28-Feb-2018 02:00:00,6
