binedges,barheight
01-Jan-2018 01:00:00,6
02-Jan-2018 01:00:00,5
03-Jan-2018 01:00:00,7
04-Jan-2018 01:00:00,6
05-Jan-2018 01:00:00,5
06-Jan-2018 01:00:00,6
07-Jan-2018 01:00:00,10
08-Jan-2018 01:00:00,9
09-Jan-2018 01:00:00,12
10-Jan-2018 01:00:00,10
11-Jan-2018 01:00:00,6
12-Jan-2018 01:00:00,20
13-Jan-2018 01:00:00,4
14-Jan-2018 01:00:00,16
15-Jan-2018 01:00:00,6
16-Jan-2018 01:00:00,6
17-Jan-2018 01:00:00,8
18-Jan-2018 01:00:00,4
19-Jan-2018 01:00:00,7
20-Jan-2018 01:00:00,6
21-Jan-2018 01:00:00,4
22-Jan-2018 01:00:00,10
23-Jan-2018 01:00:00,9
24-Jan-2018 01:00:00,14
25-Jan-2018 01:00:00,10
26-Jan-2018 01:00:00,6
27-Jan-2018 01:00:00,4
28-Jan-2018 01:00:00,4
29-Jan-2018 01:00:00,16
30-Jan-2018 01:00:00,10
31-Jan-2018 01:00:00,12
