binedges,barheight
01-Jul-2018 01:00:00,6
02-Jul-2018 01:00:00,5
03-Jul-2018 01:00:00,2
04-Jul-2018 01:00:00,8
05-Jul-2018 01:00:00,3
06-Jul-2018 01:00:00,1
07-Jul-2018 01:00:00,7
08-Jul-2018 01:00:00,8
09-Jul-2018 01:00:00,1
10-Jul-2018 01:00:00,8
11-Jul-2018 01:00:00,5
12-Jul-2018 01:00:00,7
13-Jul-2018 01:00:00,7
14-Jul-2018 01:00:00,8
15-Jul-2018 01:00:00,4
16-Jul-2018 01:00:00,8
17-Jul-2018 01:00:00,9
18-Jul-2018 01:00:00,6
19-Jul-2018 01:00:00,5
20-Jul-2018 01:00:00,6
21-Jul-2018 01:00:00,7
22-Jul-2018 01:00:00,4
23-Jul-2018 01:00:00,3
24-Jul-2018 01:00:00,5
25-Jul-2018 01:00:00,5
26-Jul-2018 01:00:00,8
27-Jul-2018 01:00:00,10
28-Jul-2018 01:00:00,2
29-Jul-2018 01:00:00,8
30-Jul-2018 01:00:00,9
31-Jul-2018 01:00:00,4
