binedges,barheight
01-Mar-2018 14:00:00,2
02-Mar-2018 14:00:00,6
03-Mar-2018 14:00:00,7
04-Mar-2018 14:00:00,3
05-Mar-2018 14:00:00,11
06-Mar-2018 14:00:00,12
07-Mar-2018 14:00:00,5
08-Mar-2018 14:00:00,4
09-Mar-2018 14:00:00,4
10-Mar-2018 14:00:00,5
11-Mar-2018 14:00:00,3
12-Mar-2018 14:00:00,7
13-Mar-2018 14:00:00,6
14-Mar-2018 14:00:00,6
15-Mar-2018 14:00:00,7
16-Mar-2018 14:00:00,5
17-Mar-2018 14:00:00,9
18-Mar-2018 14:00:00,9
19-Mar-2018 14:00:00,4
20-Mar-2018 14:00:00,6
21-Mar-2018 14:00:00,5
22-Mar-2018 14:00:00,19
23-Mar-2018 14:00:00,15
24-Mar-2018 14:00:00,9
25-Mar-2018 14:00:00,13
26-Mar-2018 14:00:00,10
27-Mar-2018 14:00:00,8
28-Mar-2018 14:00:00,6
29-Mar-2018 14:00:00,5
30-Mar-2018 14:00:00,7
31-Mar-2018 14:00:00,5
