binedges,barheight
01-Oct-2018 01:00:00,2
02-Oct-2018 01:00:00,4
03-Oct-2018 01:00:00,8
04-Oct-2018 01:00:00,4
05-Oct-2018 01:00:00,4
06-Oct-2018 01:00:00,5
07-Oct-2018 01:00:00,7
08-Oct-2018 01:00:00,6
09-Oct-2018 01:00:00,21
10-Oct-2018 01:00:00,9
11-Oct-2018 01:00:00,13
12-Oct-2018 01:00:00,21
13-Oct-2018 01:00:00,7
14-Oct-2018 01:00:00,19
15-Oct-2018 01:00:00,3
16-Oct-2018 01:00:00,15
17-Oct-2018 01:00:00,27
18-Oct-2018 01:00:00,7
19-Oct-2018 01:00:00,8
20-Oct-2018 01:00:00,5
21-Oct-2018 01:00:00,7
22-Oct-2018 01:00:00,11
23-Oct-2018 01:00:00,9
24-Oct-2018 01:00:00,3
25-Oct-2018 01:00:00,5
26-Oct-2018 01:00:00,10
27-Oct-2018 01:00:00,6
28-Oct-2018 01:00:00,5
29-Oct-2018 01:00:00,8
30-Oct-2018 01:00:00,5
31-Oct-2018 01:00:00,6
