binedges,barheight
20-Nov-2017 23:59:00,132
21-Nov-2017 00:59:00,142
21-Nov-2017 01:59:00,121
21-Nov-2017 02:59:00,121
21-Nov-2017 03:59:00,119
21-Nov-2017 04:59:00,131
21-Nov-2017 05:59:00,127
21-Nov-2017 06:59:00,131
21-Nov-2017 07:59:00,110
21-Nov-2017 08:59:00,144
21-Nov-2017 09:59:00,116
21-Nov-2017 10:59:00,129
21-Nov-2017 11:59:00,123
21-Nov-2017 12:59:00,122
21-Nov-2017 13:59:00,120
21-Nov-2017 14:59:00,140
21-Nov-2017 15:59:00,121
21-Nov-2017 16:59:00,124
21-Nov-2017 17:59:00,130
21-Nov-2017 18:59:00,127
21-Nov-2017 19:59:00,131
21-Nov-2017 20:59:00,146
21-Nov-2017 21:59:00,132
21-Nov-2017 22:59:00,134
