binedges,barheight
20-Nov-2017 23:59:00,61
21-Nov-2017 00:29:00,71
21-Nov-2017 00:59:00,75
21-Nov-2017 01:29:00,67
21-Nov-2017 01:59:00,53
21-Nov-2017 02:29:00,68
21-Nov-2017 02:59:00,51
21-Nov-2017 03:29:00,70
21-Nov-2017 03:59:00,63
21-Nov-2017 04:29:00,56
21-Nov-2017 04:59:00,62
21-Nov-2017 05:29:00,69
21-Nov-2017 05:59:00,65
21-Nov-2017 06:29:00,62
21-Nov-2017 06:59:00,67
21-Nov-2017 07:29:00,64
21-Nov-2017 07:59:00,47
21-Nov-2017 08:29:00,63
21-Nov-2017 08:59:00,69
21-Nov-2017 09:29:00,75
21-Nov-2017 09:59:00,57
21-Nov-2017 10:29:00,59
21-Nov-2017 10:59:00,56
21-Nov-2017 11:29:00,73
21-Nov-2017 11:59:00,64
21-Nov-2017 12:29:00,59
21-Nov-2017 12:59:00,55
21-Nov-2017 13:29:00,67
21-Nov-2017 13:59:00,59
21-Nov-2017 14:29:00,61
21-Nov-2017 14:59:00,64
21-Nov-2017 15:29:00,76
21-Nov-2017 15:59:00,70
21-Nov-2017 16:29:00,51
21-Nov-2017 16:59:00,66
21-Nov-2017 17:29:00,58
21-Nov-2017 17:59:00,60
21-Nov-2017 18:29:00,70
21-Nov-2017 18:59:00,65
21-Nov-2017 19:29:00,62
21-Nov-2017 19:59:00,60
21-Nov-2017 20:29:00,71
21-Nov-2017 20:59:00,56
21-Nov-2017 21:29:00,90
21-Nov-2017 21:59:00,74
21-Nov-2017 22:29:00,58
21-Nov-2017 22:59:00,70
21-Nov-2017 23:29:00,64
