binedges,barheight
21-Nov-2017 00:00:00,5
21-Nov-2017 00:01:15,2
21-Nov-2017 00:02:31,1
21-Nov-2017 00:03:47,4
21-Nov-2017 00:05:02,1
21-Nov-2017 00:06:18,1
21-Nov-2017 00:07:34,1
21-Nov-2017 00:08:49,1
21-Nov-2017 00:10:05,1
21-Nov-2017 00:11:21,3
21-Nov-2017 00:12:36,4
21-Nov-2017 00:13:52,7
21-Nov-2017 00:15:08,1
21-Nov-2017 00:16:23,1
21-Nov-2017 00:17:39,3
21-Nov-2017 00:18:55,5
21-Nov-2017 00:20:11,3
21-Nov-2017 00:21:26,6
21-Nov-2017 00:22:42,1
21-Nov-2017 00:23:58,3
21-Nov-2017 00:25:13,3
21-Nov-2017 00:26:29,1
21-Nov-2017 00:27:45,4
21-Nov-2017 00:29:00,3
21-Nov-2017 00:30:16,2
21-Nov-2017 00:31:32,4
21-Nov-2017 00:32:47,7
21-Nov-2017 00:34:03,1
21-Nov-2017 00:35:19,1
21-Nov-2017 00:36:35,1
21-Nov-2017 00:37:50,3
21-Nov-2017 00:39:06,1
21-Nov-2017 00:40:22,3
21-Nov-2017 00:41:37,1
21-Nov-2017 00:42:53,6
21-Nov-2017 00:44:09,2
21-Nov-2017 00:45:24,2
21-Nov-2017 00:46:40,7
21-Nov-2017 00:47:56,2
21-Nov-2017 00:49:11,5
21-Nov-2017 00:50:27,1
21-Nov-2017 00:51:43,3
21-Nov-2017 00:52:58,3
21-Nov-2017 00:54:14,4
21-Nov-2017 00:55:30,3
21-Nov-2017 00:56:46,5
21-Nov-2017 00:58:01,6
21-Nov-2017 00:59:17,2
21-Nov-2017 01:00:33,2
21-Nov-2017 01:01:48,2
21-Nov-2017 01:03:04,4
21-Nov-2017 01:04:20,1
21-Nov-2017 01:05:35,3
21-Nov-2017 01:06:51,3
21-Nov-2017 01:08:07,4
21-Nov-2017 01:09:22,1
21-Nov-2017 01:10:38,2
21-Nov-2017 01:11:54,1
21-Nov-2017 01:13:10,2
21-Nov-2017 01:14:25,4
21-Nov-2017 01:15:41,1
21-Nov-2017 01:16:57,6
21-Nov-2017 01:18:12,5
21-Nov-2017 01:19:28,3
21-Nov-2017 01:20:44,2
21-Nov-2017 01:21:59,4
21-Nov-2017 01:23:15,2
21-Nov-2017 01:24:31,4
21-Nov-2017 01:25:46,4
21-Nov-2017 01:27:02,7
21-Nov-2017 01:28:18,3
21-Nov-2017 01:29:33,1
21-Nov-2017 01:30:49,4
21-Nov-2017 01:32:05,1
21-Nov-2017 01:33:21,1
21-Nov-2017 01:34:36,0
21-Nov-2017 01:35:52,7
21-Nov-2017 01:37:08,1
21-Nov-2017 01:38:23,3
21-Nov-2017 01:39:39,2
21-Nov-2017 01:40:55,3
21-Nov-2017 01:42:10,2
21-Nov-2017 01:43:26,6
21-Nov-2017 01:44:42,2
21-Nov-2017 01:45:57,6
21-Nov-2017 01:47:13,4
21-Nov-2017 01:48:29,0
21-Nov-2017 01:49:45,9
21-Nov-2017 01:51:00,1
21-Nov-2017 01:52:16,0
21-Nov-2017 01:53:32,3
21-Nov-2017 01:54:47,5
21-Nov-2017 01:56:03,2
21-Nov-2017 01:57:19,1
21-Nov-2017 01:58:34,3
21-Nov-2017 01:59:50,5
21-Nov-2017 02:01:06,2
21-Nov-2017 02:02:21,2
21-Nov-2017 02:03:37,1
21-Nov-2017 02:04:53,4
21-Nov-2017 02:06:09,3
21-Nov-2017 02:07:24,1
21-Nov-2017 02:08:40,0
21-Nov-2017 02:09:56,2
21-Nov-2017 02:11:11,1
21-Nov-2017 02:12:27,2
21-Nov-2017 02:13:43,1
21-Nov-2017 02:14:58,6
21-Nov-2017 02:16:14,0
21-Nov-2017 02:17:30,1
21-Nov-2017 02:18:45,6
21-Nov-2017 02:20:01,2
21-Nov-2017 02:21:17,2
21-Nov-2017 02:22:32,2
21-Nov-2017 02:23:48,3
21-Nov-2017 02:25:04,2
21-Nov-2017 02:26:20,1
21-Nov-2017 02:27:35,1
21-Nov-2017 02:28:51,4
21-Nov-2017 02:30:07,2
21-Nov-2017 02:31:22,5
21-Nov-2017 02:32:38,4
21-Nov-2017 02:33:54,4
21-Nov-2017 02:35:09,2
21-Nov-2017 02:36:25,1
21-Nov-2017 02:37:41,3
21-Nov-2017 02:38:56,3
21-Nov-2017 02:40:12,2
21-Nov-2017 02:41:28,3
21-Nov-2017 02:42:44,1
21-Nov-2017 02:43:59,7
21-Nov-2017 02:45:15,3
21-Nov-2017 02:46:31,2
21-Nov-2017 02:47:46,6
21-Nov-2017 02:49:02,3
21-Nov-2017 02:50:18,0
21-Nov-2017 02:51:33,2
21-Nov-2017 02:52:49,3
21-Nov-2017 02:54:05,1
21-Nov-2017 02:55:20,1
21-Nov-2017 02:56:36,0
21-Nov-2017 02:57:52,10
21-Nov-2017 02:59:07,4
21-Nov-2017 03:00:23,0
21-Nov-2017 03:01:39,0
21-Nov-2017 03:02:55,5
21-Nov-2017 03:04:10,1
21-Nov-2017 03:05:26,1
21-Nov-2017 03:06:42,1
21-Nov-2017 03:07:57,1
21-Nov-2017 03:09:13,0
21-Nov-2017 03:10:29,2
21-Nov-2017 03:11:44,1
21-Nov-2017 03:13:00,1
21-Nov-2017 03:14:16,2
21-Nov-2017 03:15:31,2
21-Nov-2017 03:16:47,4
21-Nov-2017 03:18:03,4
21-Nov-2017 03:19:19,2
21-Nov-2017 03:20:34,6
21-Nov-2017 03:21:50,3
21-Nov-2017 03:23:06,3
21-Nov-2017 03:24:21,0
21-Nov-2017 03:25:37,1
21-Nov-2017 03:26:53,3
21-Nov-2017 03:28:08,2
21-Nov-2017 03:29:24,0
21-Nov-2017 03:30:40,4
21-Nov-2017 03:31:55,4
21-Nov-2017 03:33:11,5
21-Nov-2017 03:34:27,4
21-Nov-2017 03:35:42,1
21-Nov-2017 03:36:58,2
