binedges,barheight
-2,1
-1.9,0
-1.8,0
-1.7,1
-1.6,0
-1.5,0
-1.4,2
-1.3,0
-1.2,2
-1.1,0
-1,1
-0.900000000000001,0
-0.800000000000001,0
-0.700000000000001,0
-0.600000000000001,1
-0.5,1
-0.4,0
-0.3,1
-0.2,3
-0.1,2
0,5
0.1,1
0.2,1
0.3,3
0.4,2
0.5,1
0.600000000000001,4
0.700000000000001,2
0.800000000000001,10
0.900000000000001,7
1,4
1.1,17
1.2,26
1.3,36
1.4,61
1.5,86
1.6,126
1.7,172
1.8,229
1.9,256
2,223
2.1,203
2.2,218
2.3,186
2.4,178
2.5,176
2.6,157
2.7,142
2.8,101
2.9,83
3,74
3.1,59
3.2,50
3.3,36
3.4,43
3.5,26
3.6,18
3.7,13
3.8,7
3.9,3
4,7
4.1,0
4.2,2
4.3,1
4.4,1
4.5,1
4.6,1
