binedges,barheight
-1.4,1
-1.3,0
-1.2,0
-1.1,0
-1,0
-0.900000000000001,0
-0.800000000000001,0
-0.700000000000001,0
-0.600000000000001,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,1
0,0
0.1,0
0.2,0
0.3,0
0.4,1
0.5,0
0.600000000000001,0
0.700000000000001,0
0.800000000000001,1
0.900000000000001,0
1,2
1.1,1
1.2,0
1.3,2
1.4,5
1.5,3
1.6,12
1.7,7
1.8,20
1.9,24
2,21
2.1,22
2.2,21
2.3,19
2.4,21
2.5,14
2.6,11
2.7,14
2.8,8
2.9,2
3,7
3.1,4
3.2,3
3.3,4
3.4,0
3.5,1
3.6,2
3.7,0
3.8,0
3.9,0
4,1
