binedges,barheight
-1.2,1
-1.1,0
-1,0
-0.900000000000001,0
-0.800000000000001,0
-0.700000000000001,0
-0.600000000000001,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,1
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.600000000000001,0
0.700000000000001,0
0.800000000000001,1
0.900000000000001,0
1,0
1.1,1
1.2,1
1.3,3
1.4,6
1.5,6
1.6,7
1.7,10
1.8,16
1.9,27
2,21
2.1,23
2.2,17
2.3,11
2.4,17
2.5,16
2.6,14
2.7,11
2.8,13
2.9,6
3,7
3.1,5
3.2,5
3.3,3
3.4,5
3.5,4
3.6,3
3.7,3
3.8,0
3.9,0
4,1
