binedges,barheight
-1.7,1
-1.6,0
-1.5,0
-1.4,0
-1.3,0
-1.2,0
-1.1,0
-1,0
-0.900000000000001,0
-0.800000000000001,0
-0.700000000000001,0
-0.600000000000001,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,0
0.2,0
0.3,1
0.4,0
0.5,0
0.600000000000001,0
0.700000000000001,0
0.800000000000001,0
0.900000000000001,1
1,0
1.1,0
1.2,1
1.3,1
1.4,1
1.5,2
1.6,1
1.7,2
1.8,3
1.9,3
2,4
2.1,6
2.2,6
2.3,9
2.4,3
2.5,8
2.6,3
2.7,6
2.8,8
2.9,5
3,2
3.1,2
3.2,0
3.3,1
3.4,2
3.5,2
3.6,1
3.7,0
3.8,1
3.9,0
4,1
