binedges,barheight
-1.4,1
-1.3,0
-1.2,0
-1.1,0
-1,0
-0.900000000000001,0
-0.800000000000001,0
-0.700000000000001,0
-0.600000000000001,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,1
0,0
0.1,0
0.2,0
0.3,1
0.4,0
0.5,0
0.600000000000001,1
0.700000000000001,0
0.800000000000001,2
0.900000000000001,1
1,0
1.1,3
1.2,3
1.3,1
1.4,3
1.5,8
1.6,4
1.7,13
1.8,12
1.9,22
2,16
2.1,21
2.2,22
2.3,21
2.4,18
2.5,17
2.6,25
2.7,14
2.8,8
2.9,6
3,6
3.1,8
3.2,3
3.3,4
3.4,2
3.5,2
3.6,0
3.7,1
