 dia mes anio hora min sec latitud longitud prof mag
0 2017 11 21 00 18 49.080 16.83 -101.58 16.1 1.27
1 2017 11 21 07 17 13.380 16.26 -100.91 20.3 2.42
2 2017 11 21 07 53 16.480 16.26 -100.91 16.3 1.89
3 2017 11 21 10 09 12.320 16.3 -100.77 10.0 1.42
4 2017 11 21 10 15 05.300 16.26 -100.91 20.3 1.34
5 2017 11 21 10 31 07.260 16.26 -100.91 16.3 1.36
6 2017 11 21 11 32 33.880 16.26 -100.91 16.3 1.83
7 2017 11 21 15 07 26.180 17.09 -100.37 44.3 1.95
8 2017 11 21 15 40 18.500 17.61 -101.39 47.6 1.84
9 2017 11 21 17 40 53.020 16.99 -100.68 5.0 3.6
10 2017 11 21 19 26 40.880 16.99 -100.68 5.0 1.59
11 2017 11 21 20 24 36.200 17.57 -101.35 44.0 2.4
12 2017 11 21 21 39 45.040 16.26 -100.91 16.3 2.08
13 2017 11 21 22 05 48.540 16.26 -100.91 16.3 1.66
14 2017 11 21 23 03 06.440 17.36 -101.43 27.1 2.79
15 2017 11 22 00 12 36.260 16.3 -100.77 10.0 0.72
16 2017 11 22 01 19 50.260 16.3 -100.77 10.0 1.85
17 2017 11 22 02 40 45.400 16.26 -100.91 16.3 1.72
18 2017 11 22 03 16 21.340 16.3 -100.77 10.0 2.02
19 2017 11 22 04 10 21.160 16.3 -100.77 10.0 2.07
20 2017 11 22 04 27 30.580 16.26 -100.91 16.3 2.21
21 2017 11 22 04 37 59.740 17.29 -101.29 16.0 1.97
22 2017 11 22 08 54 44.320 16.3 -100.77 10.0 1.87
23 2017 11 22 10 48 04.320 17.44 -101.51 6.8 2.51
24 2017 11 22 11 37 58.820 16.26 -100.91 16.3 1.7
25 2017 11 22 12 02 31.860 16.26 -100.91 16.3 2.05
26 2017 11 22 15 35 08.160 17.03 -100.64 27.0 2.49
27 2017 11 22 16 07 39.240 17.14 -100.99 31.0 1.9
28 2017 11 22 19 48 16.000 17.72 -101.67 32.1 3.48
29 2017 11 22 19 58 30.900 17.33 -101.27 9.0 2.39
30 2017 11 22 20 36 07.360 16.98 -100.05 10.5 2.31
31 2017 11 22 21 10 54.260 16.26 -100.91 16.3 1.86
32 2017 11 22 22 28 25.580 16.26 -100.91 16.3 2.57
33 2017 11 22 23 44 50.060 17.61 -101.39 47.6 2.27
34 2017 11 22 23 57 55.460 16.29 -100.91 12.3 -1.2
35 2017 11 23 00 15 41.900 16.26 -100.91 16.3 0.85
36 2017 11 23 05 50 04.180 16.26 -100.91 16.3 1.86
37 2017 11 23 05 56 53.380 16.99 -100.68 5.0 1.39
38 2017 11 23 07 57 28.600 16.3 -100.77 10.0 2.01
39 2017 11 23 10 52 21.320 17.1 -100.61 7.0 2.55
40 2017 11 23 16 58 17.160 16.83 -101.58 16.1 2.77
41 2017 11 23 19 26 35.300 17.47 -101.63 8.0 1.69
42 2017 11 23 23 09 02.600 17.07 -100.63 5.8 1.97
43 2017 11 24 00 43 17.400 17.17 -100.09 33.0 3.58
44 2017 11 24 00 50 17.540 16.95 -100.59 3.9 3.49
45 2017 11 24 00 52 05.640 16.95 -100.59 3.9 1.69
46 2017 11 24 02 58 40.440 16.26 -100.91 16.3 1.97
47 2017 11 24 04 35 00.160 16.26 -100.91 16.3 2.6
48 2017 11 24 05 31 45.760 16.99 -100.68 5.0 1.54
49 2017 11 24 10 32 52.820 17.26 -101.02 5.0 1.77
50 2017 11 24 11 39 24.300 16.91 -101.55 15.0 3.23
51 2017 11 24 12 47 21.340 16.3 -100.88 14.0 2.8
52 2017 11 24 15 35 56.160 16.26 -100.91 16.3 1.9
53 2017 11 24 16 31 06.160 16.26 -100.91 16.3 2.03
54 2017 11 24 17 43 05.620 16.26 -100.91 16.3 2.02
55 2017 11 24 19 50 27.520 16.91 -101.55 15.0 2.28
56 2017 11 24 19 56 44.040 16.26 -100.91 20.3 1.9
57 2017 11 24 20 09 00.200 16.83 -101.61 16.1 2.37
58 2017 11 24 21 46 49.680 16.9 -100.34 18.0 2.5
59 2017 11 25 00 00 06.180 16.98 -100.44 17.0 -2.0
60 2017 11 25 01 28 57.960 16.29 -100.91 12.3 1.61
61 2017 11 25 01 43 13.720 16.88 -101.56 48.6 2.34
62 2017 11 25 04 11 55.540 16.26 -100.91 16.3 1.73
63 2017 11 25 05 34 07.220 16.26 -100.91 16.3 2.38
64 2017 11 25 08 37 10.240 16.2 -100.94 12.3 2.25
65 2017 11 25 08 38 08.900 16.3 -100.88 14.0 2.54
66 2017 11 25 08 55 38.340 16.96 -100.6 8.9 1.8
67 2017 11 25 09 20 40.440 17.24 -101.17 44.3 2.03
68 2017 11 25 09 35 17.400 16.3 -100.77 10.0 1.66
69 2017 11 25 10 15 30.380 16.47 -100.92 15.0 1.5
70 2017 11 25 14 51 30.680 16.47 -100.92 13.0 2.4
71 2017 11 25 16 03 02.980 16.26 -100.91 16.3 1.92
72 2017 11 25 17 03 30.100 16.47 -100.92 11.0 1.83
73 2017 11 25 17 10 13.900 17.09 -100.37 44.3 2.51
74 2017 11 25 19 23 41.740 17.06 -100.64 7.0 2.21
75 2017 11 25 21 37 13.220 17.03 -100.92 12.0 2.6
76 2017 11 25 23 55 20.800 17.42 -101.33 1.0 0.95
77 2017 11 26 01 19 56.940 17.03 -100.92 12.0 1.23
78 2017 11 26 01 36 40.660 16.3 -100.88 16.0 2.05
79 2017 11 26 02 31 35.100 16.83 -101.61 16.1 1.9
80 2017 11 26 04 10 59.440 17.24 -101.17 46.3 1.93
81 2017 11 26 05 46 51.240 17.34 -101.59 5.0 3.12
82 2017 11 26 05 50 06.520 17.34 -101.59 5.0 1.79
83 2017 11 26 08 18 34.820 17.24 -101.17 46.3 1.69
84 2017 11 26 09 01 35.440 17.01 -100.4 21.2 1.87
85 2017 11 26 09 17 12.520 17.34 -101.59 5.0 2.38
86 2017 11 26 09 24 31.220 16.26 -100.91 16.3 1.49
87 2017 11 26 11 17 11.660 16.45 -100.92 12.0 2.3
88 2017 11 26 11 22 49.980 16.35 -100.37 5.0 2.23
89 2017 11 26 12 27 39.800 17.17 -101.43 18.0 2.36
90 2017 11 26 12 31 46.240 17.13 -101.42 16.5 2.27
91 2017 11 26 12 32 12.420 17.13 -101.42 16.5 2.24
92 2017 11 26 13 36 23.020 17.13 -101.42 16.5 3.3
93 2017 11 26 14 50 52.320 16.26 -100.91 16.3 3.06
94 2017 11 26 15 37 37.700 17.28 -100.93 48.0 1.73
95 2017 11 26 17 21 51.380 17.72 -101.67 34.1 3.06
96 2017 11 26 18 04 58.840 17.2 -101.08 5.0 1.76
97 2017 11 26 18 39 42.320 17.17 -101.43 18.0 1.82
98 2017 11 26 19 00 33.840 16.29 -100.91 12.3 1.51
99 2017 11 26 19 12 44.940 17.61 -101.39 47.6 2.11
100 2017 11 26 22 19 55.920 17.03 -100.31 24.0 3.07
101 2017 11 26 23 29 06.820 16.27 -100.86 19.4 1.15
102 2017 11 26 23 36 52.840 16.27 -100.86 19.4 1.43
103 2017 11 27 01 15 43.480 17.17 -100.39 40.0 2.33
104 2017 11 27 01 42 55.360 16.2 -100.94 12.3 2.19
105 2017 11 27 02 44 33.480 16.26 -100.91 16.3 1.57
106 2017 11 27 02 58 50.160 17.03 -100.31 24.0 2.18
107 2017 11 27 04 14 14.260 16.3 -100.77 10.0 1.68
108 2017 11 27 04 55 10.660 17.06 -100.76 38.6 3.51
109 2017 11 27 06 01 34.020 17.47 -101.09 44.6 3.5
110 2017 11 27 06 15 14.440 17.24 -101.17 46.3 1.78
111 2017 11 27 06 46 15.140 17.19 -101.44 11.0 1.73
112 2017 11 27 06 54 52.980 16.26 -100.91 16.3 1.49
113 2017 11 27 06 55 59.260 17.19 -101.44 11.0 1.82
114 2017 11 27 10 05 36.500 16.96 -100.6 8.9 1.99
115 2017 11 27 10 25 08.400 16.26 -100.91 16.3 2.77
116 2017 11 27 13 39 59.640 16.26 -100.91 16.3 1.82
117 2017 11 27 13 42 03.060 16.26 -100.91 20.3 1.77
118 2017 11 27 13 49 47.420 16.27 -100.86 19.4 1.63
119 2017 11 27 13 50 09.180 16.26 -100.91 16.3 1.85
120 2017 11 27 14 53 02.180 16.76 -100.16 8.0 3.11
121 2017 11 27 15 13 08.780 16.3 -100.77 10.0 1.79
122 2017 11 27 15 59 57.000 16.26 -100.91 16.3 1.73
123 2017 11 27 16 21 36.140 16.26 -100.91 16.3 2.07
124 2017 11 27 16 29 30.960 16.26 -100.91 16.3 1.92
125 2017 11 27 16 38 26.340 16.3 -100.77 10.0 1.97
126 2017 11 27 16 42 14.920 16.26 -100.91 16.3 1.68
127 2017 11 27 16 55 46.620 16.3 -100.77 10.0 2.01
128 2017 11 27 17 19 14.820 16.3 -100.74 10.0 1.91
129 2017 11 27 18 27 48.900 17.19 -100.35 7.0 1.98
130 2017 11 27 18 57 02.500 16.26 -100.91 16.3 2.18
131 2017 11 27 19 15 04.520 16.27 -100.86 19.4 2.15
132 2017 11 27 20 05 50.180 16.73 -101.5 16.1 3.3
133 2017 11 27 20 47 56.880 16.85 -101.59 16.1 2.09
134 2017 11 27 22 49 28.560 16.73 -101.5 16.1 2.54
135 2017 11 27 23 43 36.560 16.73 -101.5 16.1 1.59
136 2017 11 28 00 07 15.180 16.73 -101.5 16.1 1.75
137 2017 11 28 00 16 29.560 17.24 -101.17 46.3 0.71
138 2017 11 28 00 56 26.360 16.27 -100.86 19.4 1.37
139 2017 11 28 02 25 48.900 16.26 -100.91 16.3 1.99
140 2017 11 28 02 59 26.420 16.27 -100.86 19.4 1.5
141 2017 11 28 03 17 45.300 17.27 -101.42 16.7 1.41
142 2017 11 28 03 33 59.960 16.27 -100.86 19.4 2.05
143 2017 11 28 03 35 03.120 16.27 -100.86 19.4 1.84
144 2017 11 28 05 30 42.060 16.27 -100.86 19.4 1.65
145 2017 11 28 06 46 29.480 17.44 -101.51 4.8 2.46
146 2017 11 28 08 33 52.240 16.26 -100.91 20.3 2.56
147 2017 11 28 10 12 14.620 16.2 -100.91 14.3 1.83
148 2017 11 28 14 18 28.120 17.39 -101.37 11.9 1.74
149 2017 11 28 14 58 05.280 17.15 -100.76 13.3 3.18
150 2017 11 28 15 02 21.720 17.15 -100.76 13.3 1.64
151 2017 11 28 16 03 59.300 17.26 -101.02 5.0 1.43
152 2017 11 28 16 25 33.180 16.74 -100.74 20.0 2.86
153 2017 11 28 16 46 17.400 16.3 -100.77 10.0 1.62
154 2017 11 28 17 27 46.640 16.27 -100.86 19.4 1.54
155 2017 11 28 22 28 03.040 16.26 -100.91 16.3 1.78
156 2017 11 28 22 49 08.680 16.88 -101.53 46.6 2.27
157 2017 11 28 23 03 46.320 16.27 -100.86 19.4 2.38
158 2017 11 28 23 06 51.420 16.27 -100.86 19.4 2.93
159 2017 11 28 23 25 00.360 16.27 -100.86 19.4 1.31
160 2017 11 28 23 52 12.180 16.27 -100.86 19.4 0.18
